"Source:","/Users/adrian/git/GPS/KiCad/L86/L86.kicad_sch"
"Date:","Sunday, 06 March 2022 at 07:28:08"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","2"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note"
"","","J1","Conn_01x06","Connector_Generic:Conn_01x06","RevK:Molex_MiniSPOX_H6RA","~",""
"","","U1","L86-M33","RevK:L86-M33","RevK:L86-M33","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note"
"1","1","J1","Conn_01x06","Connector_Generic:Conn_01x06","RevK:Molex_MiniSPOX_H6RA","~",""
"2","1","U1","L86-M33","RevK:L86-M33","RevK:L86-M33","",""
