### Module positions - created on 2022-03-07 07:03
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 67.100mm, Pcb Width 44.600mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U3            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 87.7500    -136.3500  85.8500    -135.3500     0.0    top       SMD
R1            10k                 R_0603                        117.5000   -140.2500  117.5000   -141.0750    90.0    top       SMD
R5            27R                 R_0603                        87.2500    -141.2500  87.2500    -142.0750    90.0    top       SMD
D2            LED_RGBA            LED-RGB-1.6x1.6               85.5000    -116.5000  84.6250    -116.0000   180.0    top       SMD
R3            5K1                 R_0603                        90.5000    -143.7500  91.3250    -143.7500   180.0    top       SMD
R4            27R                 R_0603                        88.5000    -141.2500  88.5000    -142.0750    90.0    top       SMD
J2            USB-C               USC16-TR-Round                88.0000    -152.0000  0.0000     0.0000        0.0    top       SMD
R10           2K                  R_0603                        85.5000    -119.7500  84.6750    -119.7500     0.0    top       SMD
U2            ESP32-PICO-MINI-02  ESP32-PICO-MINI-02            109.7500   -141.0567  115.6500   -145.0567   180.0    top       SMD
D1            D                   D_1206_3216Metric             99.2500    -141.5000  99.2500    -142.9000    90.0    top       SMD
R7            10k                 R_0603                        95.2500    -141.0000  94.4250    -141.0000     0.0    top       SMD
R9            680R                R_0603                        85.5000    -118.5000  84.6750    -118.5000     0.0    top       SMD
U4            LMR16006+FB         RegulatorBlockFB              98.0500    -127.9000  97.1000    -129.2500     0.0    top       SMD
R12           3M 1% or NF         R_0603                        96.7500    -124.4000  95.9250    -124.4000     0.0    top       SMD
R6            4k7                 R_0603                        92.5000    -141.0000  91.6750    -141.0000     0.0    top       SMD
R11           220R                R_0603                        85.5000    -121.0000  84.6750    -121.0000     0.0    top       SMD
C1            0.1uF               C_0603                        91.5000    -136.5000  91.5000    -137.2750    90.0    top       SMD
R2            5K1                 R_0603                        85.5000    -143.7500  86.3250    -143.7500   180.0    top       SMD
U1            L86-M33             L86-M33                       100.0000   -100.0000  93.4500    -107.9500   -90.0    top       SMD
R8            10M 1% or 0R        R_0603                        99.5000    -124.4000  100.3250   -124.4000   180.0    top       SMD
D3            Schottky            Hidden                        100.3300   -131.0700  0.0000     0.0000        0.0    top       SMD
L1            6.8uH               Hidden                        101.9500   -127.9000  0.0000     0.0000        0.0    top       SMD
C2            0.1uF               Hidden                        95.9500    -128.1500  0.0000     0.0000       90.0    top       SMD
C3            2.2uF               Hidden                        97.2000    -131.4500  0.0000     0.0000       90.0    top       SMD
C4            10uF                Hidden                        103.4500   -131.4500  0.0000     0.0000       90.0    top       SMD
## End
