Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery-Holder-2032,1,Battery_Cell,
C1,C_0603,1,0.1uF,
C2,Hidden,1,0.1uF,
C3,Hidden,1,2.2uF,
C4,Hidden,1,10uF,
D1,D_1206,1,D,
D2,LED-RGB-1.6x1.6,1,LED_RGBA,
D3,Hidden,1,Schottky,
J1,Molex_MiniSPOX_H2RA,1,DC,
J2,USC16-TR-Round,1,USB-C,
L1,Hidden,1,6.8uH,
M1,OLED1.5-RGB,1,OLED1.5-RGB,
"R1, R7",R_0603,2,10k,
R10,R_0603,1,2K,
R11,R_0603,1,220R,
R12,R_0603,1,30k 1% or NF,
"R2, R3",R_0603,2,5K1,
"R4, R5",R_0603,2,27R,
R6,R_0603,1,4k7,
R8,R_0603,1,100k 1% or 0R,
R9,R_0603,1,680R,
U1,L86-M33,1,L86-M33,
U2,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U4,RegulatorBlockFB,1,LMR16006+FB,
