Designator,Mid X,Mid Y,Rotation,Layer
C5,101.52,-129.29,180,top
C6,97.2,-119.94,0,top
C7,97.2,-121.86,0,top
C8,97.2,-123.78,0,top
D1,97.2,-139.05,90,top
D4,103.97,-128.74,180,top
J1,96.5,-145.4,0,top
J2,88.0,-147.65,0,top
J3,100.0,-118.2,180,bottom
J4,109.1,-142.45,180,bottom
J5,109.1,-134.9,0,bottom
J6,86.97,-133.68,90,bottom
L2,98.4,-127.3,0,top
M1,78.0,-152.0,0,top
R1,117.5,-140.25,90,top
R13,99.87,-119.89,0,top
R14,99.87,-121.73,0,top
R15,99.87,-123.57,0,top
R2,85.5,-143.75,180,top
R3,90.5,-143.75,180,top
U1,109.05,-138.8,180,top
U2,89.25,-133.25,0,top
