Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805,1,4.7uF/50V,
C2,CP_EIA-7343-31_Kemet-D,1,C_Polarized,C106188
C5,C_0402,1,1uF,
"D1, D3, D5, D6",DFN1006-2L,4,~,C5137770
D2,D_SOD-123,1,MBR0530,
D4,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-PH-SM3-TB,C295747
J2,USB-C-Socket-H,1,USB-C-Socket-V,C709357
J6,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,DM3AT-SF-PEJM5,
Q1,SOT-23,1,CJ2301,C5224170
Q2,SOT-323_SC-70,1,C179347,C179347
"R1, R4, R5, R6",R_0402,4,10K,
"R2, R3",R_0402,2,5K1,
"R7, R8",R_0402,2,100K,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U3,SOT-23-5,1,TP4054,C668215
U4,SOT-23-5,1,ME6211C33M5G-N,C82942
