Designator,Mid X,Mid Y,Rotation,Layer
C1,29.1,26.25,90,top
C10,28.0,21.9,90,top
C11,26.0,21.9,90,top
C12,24.0,21.9,90,top
C13,22.0,21.9,90,top
C14,20.0,21.9,90,top
C15,18.0,21.9,90,top
C16,16.0,21.9,90,top
C17,14.0,21.9,90,top
C18,27.1,26.2,90,top
C19,30.6,40.6,270,top
C2,51.3,42.3,0,top
C20,32.52,24.0,180,top
C21,19.9,23.8,270,top
C22,16.6,29.0,180,top
C3,40.0,21.9,90,top
C4,38.0,21.9,90,top
C5,30.0,44.0,90,top
C6,36.0,21.9,90,top
C7,34.0,21.9,90,top
C8,32.0,21.9,90,top
C9,30.0,21.9,90,top
D1,30.6,34.9,270,top
D10,33.0,20.5,45,top
D11,31.0,20.5,45,top
D12,29.0,20.5,45,top
D13,27.0,20.5,45,top
D14,25.0,20.5,45,top
D15,23.0,20.5,45,top
D16,21.0,20.5,45,top
D17,19.0,20.5,45,top
D18,17.0,20.5,45,top
D19,15.0,20.5,45,top
D2,43.8,27.8,0,top
D20,51.0,29.2,0,top
D3,30.6,36.6,270,top
D4,41.0,20.5,45,top
D5,30.6,38.3,270,top
D6,25.1,26.12,270,top
D7,39.0,20.5,45,top
D8,37.0,20.5,45,top
D9,35.0,20.5,45,top
J1,51.0,24.0,0,top
J2,51.3,35.03,90,top
J4,39.0,40.5,0,bottom
J5,39.0,33.5,180,bottom
J6,21.6,35.05,180,top
Q1,43.94,25.0,180,top
Q2,23.3,26.15,270,top
R1,30.6,42.4,90,top
R2,53.7,28.4,270,top
R3,54.7,28.4,90,top
R4,38.6,27.8,0,top
R5,40.5,27.8,180,top
R6,21.5,26.15,270,top
R7,45.0,20.6,180,top
R8,45.0,19.7,0,top
R9,45.0,21.5,0,top
U1,39.0,37.0,0,top
U2,16.0,26.0,90,top
U3,40.0,25.2,270,top
U4,36.0,25.0,90,top
